,Make,Seller,YearOfProd,Mileage (km),Color,Fuel,FuelCinCity,Gearbox,EngineVol (cm3),Horsepower,Post-accident,Seats,Doors,Price
65,Volkswagen,Private person,2010,260000,Silver,Diesel,5,Manual,1598,105,0.0,5,5,4966.14
66,Audi,Private person,2016,68000,Black,Petrol,13,Automatic,3993,450,,5,4,24579.68
67,Volkswagen,Company,2022,10,Green,Petrol,,Manual,999,110,0.0,5,5,24665.91
68,Opel,Private person,2007,203000,Black,Diesel,7,Manual,1910,150,0.0,5,5,3837.25
69,Volkswagen,Company,2020,34000,White,Petrol,,,1498,150,,5,5,25349.66
70,Audi,Company,2023,,White,Petrol,,Automatic,1984,265,0.0,5,5,66359.59
71,Audi,Company,2022,,Gray,Electric,,Automatic,,476,0.0,5,4,121776.52
72,Audi,Company,2023,,Gray,Diesel,,Automatic,2967,286,0.0,5,4,126334.54
73,Audi,Company,2022,10,Gray,Petrol,8,Automatic,1984,265,0.0,5,5,69150.56
74,Honda,Company,2016,102000,Black,Petrol,8,Manual,1997,155,0.0,5,5,19589.16
75,Skoda,Private person,2009,203000,Brown,Petrol,"9,40",,1798,160,0.0,5,5,6501.13
76,BMW,Company,2022,5000,Gray,Electric,,Automatic,,326,0.0,5,,101388.26
77,Skoda,Private person,2013,278000,Black,Diesel,6,,1968,170,,5,5,7652.37
78,Mazda,Company,2009,197000,Gray,Diesel,6,Manual,1998,140,,5,5,4040.63
79,Mazda,Company,2013,158000,Gray,Petrol,,Manual,1998,165,0.0,5,5,13505.64
80,BMW,Company,2019,61000,White,Diesel,,Automatic,2993,265,0.0,5,5,59367.95
81,BMW,Company,2021,21000,Blue,Electric,,Automatic,,326,0.0,5,5,90067.72
82,Peugeot,Private person,2014,138000,Brown,Petrol,,,1598,120,0.0,5,5,9232.51
83,Mitsubishi,Private person,2016,66839,Else,Petrol,7,Automatic,1998,150,0.0,7,5,22325.06
84,Mercedes-Benz,Private person,2003,349120,Silver,Diesel,,,2685,,,5,5,3589.16
85,Citroën,Private person,2015,197892,Blue,Diesel,,Manual,1560,115,0.0,5,5,8577.88
86,Kia,Private person,2015,111820,Else,Diesel,,Automatic,1685,141,0.0,5,4,16681.72
87,Skoda,Company,2022,1,Gray,Petrol,,Manual,1498,150,0.0,5,5,29706.55
88,Audi,Private person,2003,174500,Gray,Petrol,9,,1595,,0.0,5,3,2415.35
89,Seat,Company,2023,1,Black,Petrol,,Automatic,1498,150,0.0,5,5,30349.21
90,BMW,Private person,2015,307000,Black,Diesel,4,,1995,190,,5,4,16027.09
91,Citroën,Company,2018,115000,White,Diesel,,Manual,1560,102,0.0,3,5,13854.85
92,Peugeot,Company,2017,112000,White,Diesel,,Manual,1560,100,0.0,2,5,13299.55
93,Peugeot,Company,2017,105000,White,Diesel,,Manual,1560,100,0.0,2,5,11439.28
94,BMW,Private person,2010,158021,Else,Diesel,"6,70",Manual,1995,163,0.0,5,5,8103.84
95,Ford,Company,2022,1,Blue,Petrol,,Manual,1499,200,0.0,5,5,37832.96
96,Audi,Company,2022,,Red,Petrol,,Automatic,1984,265,0.0,5,5,64133.86
97,Skoda,Private person,2016,230000,White,Diesel,8,Automatic,1968,184,0.0,5,5,13092.33
98,Nissan,Private person,2010,180800,Black,Diesel,,Automatic,1995,150,0.0,7,5,8103.84
99,Cupra,Company,2022,1,Black,Petrol,,Automatic,1498,150,0.0,5,5,33408.58
100,Ford,Company,2022,1,Black,Hybrid,6,Automatic,2483,190,0.0,5,5,38374.72
101,Seat,Company,2020,28786,Black,Petrol,,Manual,1498,131,0.0,5,5,18013.54
102,Renault,Company,2022,1,Black,Petrol,,Automatic,1332,140,0.0,5,5,33521.44
103,Volkswagen,Private person,2013,262000,Else,Diesel,"6,10",,1968,177,0.0,5,4,11512.42
104,Renault,Private person,2009,173000,Blue,,,,2464,,0.0,,4,15575.62
105,Suzuki,Private person,2017,145500,Gray,Petrol,5,Manual,998,111,0.0,5,5,14198.65
106,Mercedes-Benz,Company,2019,35000,Gray,Petrol,"11,50",Automatic,2999,435,0.0,5,4,103837.47
107,Honda,Private person,2018,63940,White,,,,988,,,,5,15530.47
108,Volkswagen,Company,2023,8,Gray,Petrol,,Automatic,1498,150,0.0,5,5,42866.82
109,Audi,Company,2022,5017,Silver,Diesel,,Automatic,1968,204,0.0,5,5,54830.7
110,Porsche,Company,2022,16800,Claret,Electric,,Automatic,,381,,4,4,105869.07
111,Citroën,Company,2015,55200,Gray,Petrol,,Manual,1199,130,,5,5,12392.78
112,Volkswagen,Company,2014,210500,Gray,Diesel,,Manual,1968,150,0.0,5,5,11060.72
113,Toyota,Private person,2014,90000,Else,Petrol,7,Manual,1598,132,,5,5,11512.42
114,Opel,Private person,2007,181000,Gray,,,,2198,,,5,5,2234.76
115,Kia,Company,2019,75715,Gray,Petrol,,Automatic,1591,177,0.0,5,5,28643.12
116,Ford,Private person,2016,178000,Silver,Diesel,"4,90",Manual,1560,115,0.0,5,5,11715.58
117,Skoda,Company,2014,200685,White,Petrol,6,Manual,1395,140,,5,5,8552.82
118,Hyundai,Private person,2019,83806,Claret,Petrol,,,1591,177,,5,5,21896.16
119,Kia,Private person,2011,218000,Gray,Diesel,6,Manual,1995,136,0.0,5,5,10135.44
120,Audi,Company,2022,5,Black,Petrol,,Automatic,1984,320,0.0,4,2,65395.03
121,Audi,Company,2021,8000,Black,Electric,,Automatic,,598,,5,5,142663.66
122,Skoda,Company,2005,220200,Green,Diesel,6,Manual,1896,64,0.0,5,5,3363.43
123,Opel,Private person,2010,207774,Else,Petrol,,,1798,140,,5,5,6318.28
124,Mercedes-Benz,Private person,2006,266909,Else,Diesel,"10,60",Automatic,2987,224,,4,4,9254.85
125,Renault,Private person,2018,156000,Black,Petrol,6,,1197,130,0.0,5,5,12866.59
126,Kia,Private person,2016,68967,Silver,Petrol,,Manual,1591,135,0.0,5,5,11015.8
127,Ford,Private person,2015,125000,Black,Petrol,6,Manual,1242,82,0.0,5,5,7426.64
128,Toyota,Company,2013,95600,Silver,Petrol,,Automatic,1598,132,0.0,5,4,12979.68
129,Audi,Company,2022,5,White,Petrol,,Automatic,1984,320,0.0,4,2,68939.05
130,Hyundai,Private person,2014,195000,White,Diesel,6,,1995,136,,5,5,11941.31
131,Audi,Private person,2016,190500,Silver,Petrol,7,,1395,150,0.0,,5,19322.8
132,Volvo,Private person,2015,236000,Blue,Diesel,6,,1984,136,,5,4,12866.82
133,Mazda,Company,2015,335942,White,Petrol,,Automatic,2488,192,0.0,5,4,12392.78
134,Skoda,Company,2022,4,Red,Petrol,,Automatic,1984,245,0.0,5,5,43458.24
135,Toyota,Company,2023,1,Gray,Hybrid,,Automatic,1490,92,0.0,5,5,24399.1
136,Mazda,Company,2013,138900,Claret,Petrol,8,,1998,160,,5,5,14785.55
137,Audi,Company,2022,3000,Silver,Petrol,,Automatic,1395,245,0.0,5,5,49887.13
138,Nissan,Private person,2011,239000,White,Diesel,8,Manual,1995,150,0.0,5,5,7223.25
139,Peugeot,Private person,2009,98400,Gray,Petrol,5,,998,,,4,3,2483.07
140,Volkswagen,Private person,2010,455235,White,Diesel,7,Manual,1968,140,0.0,5,5,4063.21
141,Mercedes-Benz,Private person,2016,105000,White,Diesel,5,,2143,177,0.0,5,5,20767.49
142,Audi,Company,2022,9000,White,Electric,,Automatic,,408,,5,5,85756.21
143,Audi,Company,2022,4000,Gray,Diesel,,Automatic,1968,204,0.0,5,5,46049.66
144,Mercedes-Benz,Company,2021,25000,Gray,Electric,,Automatic,,523,0.0,,,162302.48
145,Skoda,Private person,2015,233400,Black,Petrol,6,Manual,1395,140,0.0,5,5,9819.41
146,Mercedes-Benz,Private person,2011,223000,White,Diesel,"7,80",,2987,265,,4,4,18961.63
147,Nissan,Private person,2019,20500,Black,Petrol,,Automatic,1332,160,0.0,5,5,22460.5
148,BMW,Private person,2007,310000,Black,Diesel,"9,30",Automatic,2993,235,,5,5,8126.19
149,Renault,Private person,2014,200000,Brown,,,,1461,,,5,5,6072.23
150,Audi,Private person,2017,85923,White,Diesel,"6,30",Automatic,1968,184,,5,5,21557.56
