,Make,Seller,YearOfProd,Mileage (km),Color,Fuel,FuelCinCity,Gearbox,EngineVol (cm3),Horsepower,Post-accident,Seats,Doors,Price
572,Audi,Private person,2006,234581,Silver,,9,,1595,,,,5,4492.1
573,Ford,Private person,2009,205000,White,Diesel,5,,1560,109,0.0,,5,3814.9
574,Opel,Private person,2021,10500,White,Petrol,,Manual,1199,100,0.0,5,5,14785.55
575,Opel,Private person,2016,226000,Black,Diesel,4,Manual,1598,136,0.0,5,5,10135.44
576,BMW,Private person,2011,207000,Brown,Diesel,"6,70",,1995,,0.0,5,5,12799.1
577,Ford,Company,2022,1,White,Diesel,,Automatic,1995,213,0.0,5,,52370.2
578,Seat,Company,2016,111000,White,Petrol,,Automatic,1984,290,0.0,5,5,20022.57
579,Ford,Private person,2015,120000,Else,,8,,1596,,,5,5,8329.57
580,Volkswagen,Company,2021,30549,Gray,Petrol,,Automatic,1498,150,0.0,5,5,28171.56
581,Volvo,Company,2020,47300,White,Diesel,6,Automatic,1969,235,0.0,7,5,62076.75
582,Mercedes-Benz,Private person,2019,30000,Gray,,9,,1991,,,5,5,42866.82
583,Citroën,Private person,2017,85000,Gray,Petrol,5,Manual,1199,82,0.0,5,5,10519.19
584,Skoda,Private person,2015,116775,Black,Petrol,,Manual,1197,105,0.0,5,5,9480.81
585,Honda,Private person,2013,181000,Red,Diesel,6,Manual,2199,150,0.0,5,5,16230.25
586,Kia,Private person,2009,179000,Silver,Petrol,7,Manual,1399,97,0.0,5,5,2968.4
587,Jaguar,Private person,2018,104000,Red,Diesel,,Automatic,2993,300,0.0,5,5,51670.43
588,Audi,Company,2017,178000,Black,Petrol,,Automatic,1984,252,0.0,5,5,24808.13
589,Skoda,Company,2022,1,Else,Petrol,5,Manual,999,95,0.0,5,5,18261.85
590,Renault,Company,2022,10,White,Petrol,,Automatic,1598,94,0.0,5,5,33386.0
591,Citroën,Private person,2009,75789,Claret,Petrol,,,1124,,,4,3,2099.32
592,Ford,Private person,2015,111477,Green,Diesel,8,Automatic,1997,238,,5,5,17810.38
593,Volkswagen,Company,2023,5,Black,Petrol,,Manual,999,95,0.0,5,5,22234.76
594,BMW,Private person,2009,262456,Black,Diesel,"8,50",,2993,,,5,4,8329.57
595,Volvo,Company,2022,5,Else,Petrol,,Automatic,1969,197,0.0,,5,48936.79
596,Jeep,Private person,2017,85000,Silver,Petrol+LPG,,Automatic,5654,352,,5,5,36094.81
597,BMW,Private person,2021,9600,White,Petrol,,Automatic,1998,184,0.0,5,5,56207.67
598,Audi,Private person,2018,112900,Gray,Diesel,7,Automatic,2967,286,0.0,4,5,57562.08
599,Citroën,Private person,2006,154200,Silver,Diesel,6,,1560,90,,5,5,2009.03
600,Hyundai,Company,2019,96000,Gray,Petrol,,Automatic,1353,140,0.0,5,5,16907.45
601,Volkswagen,Company,2018,77220,Gray,Petrol,,Automatic,1498,150,0.0,5,5,23451.02
602,Ford,Company,2017,113000,White,Petrol,,Manual,1596,105,0.0,5,5,10135.44
603,Volkswagen,Company,2019,40870,White,Petrol,,Manual,1498,150,0.0,5,5,24328.89
604,Opel,Private person,2011,217971,Gray,Petrol,,,1598,115,0.0,5,5,6433.41
605,BMW,Private person,2006,250000,Gray,Diesel,,,1995,,0.0,5,4,4898.42
606,Ford,Private person,2014,154000,Blue,Diesel,,,1997,163,0.0,7,5,12110.61
607,Audi,Private person,2012,173000,Gray,Diesel,8,,1968,170,0.0,5,5,15733.63
608,BMW,Company,2022,5,Green,Petrol,,Automatic,2993,510,0.0,5,4,121873.59
609,Volkswagen,Company,2019,115000,Black,Petrol,,Automatic,1498,130,0.0,5,5,17584.65
610,Ford,Private person,2011,178340,White,Diesel,7,,1997,140,,5,5,9909.71
611,Audi,Private person,2017,72300,Blue,Petrol,,,1984,252,,5,5,24582.39
612,Porsche,Private person,2016,55400,White,Petrol,12,,3598,300,,5,5,47404.06
613,BMW,Company,2022,5,Blue,Petrol,,Automatic,2993,510,0.0,,4,121873.59
614,Porsche,Private person,2019,111000,Blue,Petrol,11,Automatic,2995,340,0.0,5,5,78984.2
615,Volkswagen,Company,2023,5,Black,Petrol,,Manual,999,95,0.0,5,5,22234.76
616,Skoda,Company,2018,147120,Brown,Petrol,,Manual,999,95,0.0,5,5,9683.97
617,Volvo,Private person,2013,219000,Else,Petrol,16,,3192,243,,7,5,12821.67
618,Ford,Company,2017,188000,Blue,Diesel,,Manual,1997,150,0.0,5,5,10361.17
619,Seat,Company,2019,119000,Blue,Diesel,,Manual,1598,115,0.0,5,5,13069.98
620,Hummer,Company,2008,200000,Else,Petrol,,,6162,,,6,5,29322.8
621,Audi,Company,2019,20959,Gray,Petrol,,Automatic,1984,245,,5,5,41952.6
622,Opel,Company,2018,127000,Blue,Diesel,,Manual,1598,110,0.0,5,5,10135.44
623,Mercedes-Benz,Company,2020,47049,White,Petrol,,Automatic,1332,163,,5,4,30451.47
624,Volkswagen,Company,2019,157480,Gray,Diesel,6,Automatic,1968,150,0.0,5,5,22347.4
625,Mercedes-Benz,Private person,2008,280000,Black,Diesel,8,,2987,224,,5,5,8532.73
626,Volkswagen,Company,2020,89977,Blue,Diesel,,Manual,1968,177,0.0,3,4,34514.67
627,Ford,Company,2017,177000,Blue,Diesel,,Manual,1498,95,0.0,5,5,7878.1
628,Ford,Private person,2016,82500,White,Petrol,10,,1498,165,,5,5,13544.02
629,Skoda,Private person,2017,182000,Silver,Diesel,4,Manual,1598,115,0.0,5,5,11173.81
630,Volkswagen,Company,2023,5,Silver,Petrol,,Manual,999,110,0.0,5,5,22460.5
631,Ford,Company,2016,159000,Blue,Diesel,,Manual,1498,75,0.0,5,5,6523.7
632,Seat,Company,2017,121000,Silver,Diesel,,Manual,1598,115,0.0,5,5,9458.24
633,Toyota,Company,2017,68000,Black,Hybrid,,Automatic,2494,155,0.0,5,5,25936.79
634,Audi,Private person,2022,22000,Black,Diesel,,Automatic,1968,204,0.0,5,,67494.36
635,Toyota,Private person,2008,98000,Silver,Petrol,,Manual,1296,87,0.0,5,5,5079.01
636,Peugeot,Private person,2011,120000,Brown,Diesel,"7,10",,1997,,,5,5,8103.84
637,Volkswagen,Private person,2006,224200,White,Petrol,9,,1595,102,0.0,,3,2911.96
638,Skoda,Company,2014,181220,Blue,Diesel,7,Manual,1968,184,0.0,5,5,12618.51
639,Ford,Company,2016,122000,Silver,Diesel,,Manual,1498,120,0.0,5,5,10361.17
640,Ford,Company,2016,122000,Silver,Diesel,,Manual,1498,120,0.0,5,5,10361.17
641,Volkswagen,Company,2023,5,Black,Petrol,,Manual,999,110,0.0,5,5,22799.1
642,Volkswagen,Company,2023,5,Silver,Petrol,,Automatic,1498,150,0.0,5,5,27878.1
643,BMW,Private person,2008,357000,Gray,Diesel,11,,2993,,,5,5,7110.61
644,Peugeot,Private person,2018,117000,White,Diesel,"5,30",Automatic,1997,180,0.0,5,5,26636.57
645,Opel,Private person,2016,116120,Blue,,8,,1364,,,5,5,13069.98
646,Renault,Private person,2011,157000,Silver,Diesel,"5,80",,1461,110,,5,5,4063.21
647,Mazda,Private person,2018,34672,Black,Petrol,6,,1496,90,,5,5,13544.02
648,Opel,Private person,2007,213666,Else,Diesel,11,Automatic,1991,150,0.0,5,5,5981.94
649,Ford,Private person,2011,74162,Black,Petrol,6,,1242,69,0.0,4,3,3386.0
650,Audi,Company,2023,1,White,Diesel,,Automatic,2967,286,0.0,5,5,95801.35
651,Ford,Company,2022,1,Silver,Diesel,,Automatic,1995,213,0.0,5,,46275.17
652,Skoda,Company,2023,1,Blue,Petrol,6,Automatic,1984,190,0.0,5,5,39164.79
653,Volkswagen,Private person,2017,114000,Gray,Petrol,8,,1984,,,5,5,14198.65
654,Volvo,Company,2023,1,Black,Diesel,,Automatic,1969,197,0.0,5,5,54830.7
655,Kia,Company,2021,18000,,Diesel,,Automatic,1598,136,0.0,,,26839.73
656,Nissan,Private person,2015,192000,Black,Petrol,,Manual,1618,163,0.0,7,5,14198.65
657,Ford,Private person,2010,275369,Silver,Diesel,6,Manual,1753,115,0.0,5,5,2370.2
658,Volkswagen,Private person,2010,192000,Red,Diesel,"5,10",,1598,105,0.0,5,3,4464.33
659,Volkswagen,Company,2019,177000,Gray,Diesel,6,Automatic,1968,190,0.0,5,5,28181.72
660,Mazda,Private person,2015,191000,Red,Petrol,8,Automatic,2488,192,0.0,5,4,18036.12
661,Volvo,Company,2023,1,Gray,Diesel,,Automatic,1969,197,0.0,5,5,50090.29
662,BMW,Private person,1978,47723,Blue,Petrol,,,3210,200,,4,2,7674.94
663,BMW,Private person,2016,140000,White,Diesel,6,Automatic,2993,313,0.0,5,5,29322.8
664,Ford,Company,2022,5,White,Petrol,,Automatic,2483,190,0.0,5,5,39029.35
665,Volvo,Private person,2016,84700,Silver,,,,1969,,,5,4,18047.4
666,Citroën,Private person,2012,206360,Brown,Petrol,"9,10",,1598,156,,7,5,4492.1
667,Volkswagen,Private person,2016,215000,Black,Diesel,5,Manual,1968,102,0.0,5,5,11286.46
668,Ford,Company,2016,155000,Else,Diesel,,Manual,1498,120,0.0,5,5,9006.77
669,BMW,Private person,2017,185000,White,Diesel,"7,50",Automatic,2993,313,0.0,5,5,29796.84
670,BMW,Private person,2016,144000,White,Diesel,5,Manual,1995,150,0.0,5,3,10812.64
671,Seat,Company,2023,1,Else,Petrol,,Automatic,1498,150,0.0,5,5,36605.64
672,BMW,Private person,2020,185962,Gray,Diesel,,,1995,,,5,5,33589.16
673,BMW,Private person,2020,10000,Black,Petrol,,,1499,140,0.0,5,5,33837.47
674,Hyundai,Company,2011,178000,Black,Petrol,7,Manual,1396,109,0.0,5,5,4492.1
675,Mercedes-Benz,Private person,2008,189000,Black,Diesel,11,,2987,224,0.0,5,5,12370.2
676,Nissan,Private person,2013,134500,Gray,Petrol,,,1198,80,0.0,5,5,7426.64
677,Renault,Company,2022,10,Red,Petrol,,Automatic,1332,140,0.0,5,5,33273.14
678,Hyundai,Company,2018,71500,Gray,Petrol,,Automatic,1999,165,0.0,5,5,16636.57
679,Renault,Company,2022,10,Silver,Petrol,,Manual,1332,140,0.0,5,5,22776.52
680,Renault,Company,2022,10,Black,Petrol,,Manual,1332,140,0.0,5,4,26139.95
681,Renault,Company,2022,10,White,Petrol,,Automatic,1598,94,0.0,5,5,35440.18
682,Volkswagen,Private person,2006,134600,Else,Petrol+LPG,8,,1390,75,,5,3,3363.43
683,Ford,Private person,2015,147555,White,Diesel,"5,90",,1997,150,0.0,5,5,10609.26
684,Opel,Private person,2010,238000,Black,Petrol,12,,1998,,0.0,5,5,6975.17
685,Volkswagen,Private person,2014,160847,Gray,Petrol,8,Manual,1390,122,0.0,5,5,8532.73
686,Volkswagen,Private person,2010,323000,Gray,Diesel,12,Automatic,2967,240,,6,4,7336.34
687,Volkswagen,Private person,2012,100000,Black,Petrol,"8,20",Manual,1390,122,,5,3,6297.97
688,Audi,Private person,2021,43017,Blue,Diesel,"8,70",Automatic,2967,232,0.0,5,5,67719.86
689,Audi,Private person,2013,115000,Gray,Petrol,6,Automatic,1395,122,0.0,5,5,11512.19
690,Audi,Private person,2019,60000,Else,Petrol,,Automatic,1984,190,0.0,4,2,31580.14
691,Toyota,Private person,2004,214364,Green,Petrol,9,,1794,129,0.0,5,5,4153.5
692,Volkswagen,Company,2023,8,Gray,Petrol,,Manual,999,110,0.0,5,5,25711.06
693,Renault,Private person,2007,360000,Black,Diesel,,Manual,1870,130,0.0,5,5,2009.03
694,Toyota,Private person,2016,108000,Brown,Petrol,7,Automatic,1598,132,0.0,5,4,14424.38
695,Suzuki,Private person,2009,213000,Red,,,,1248,,,5,5,2663.66
696,Renault,Private person,2011,172230,White,Diesel,9,,1995,,,9,4,12844.24
697,Opel,Private person,2010,187255,Black,Petrol,,,1398,100,0.0,5,5,5575.62
698,Mercedes-Benz,Company,2021,16600,Black,Diesel,,Automatic,1950,194,0.0,5,5,51693.0
699,Volkswagen,Private person,2004,225000,Gray,,8,,1598,,,,3,2460.5
700,Mercedes-Benz,Private person,2003,204000,Else,Diesel,8,Manual,2148,143,0.0,5,3,3137.7
701,Volkswagen,Private person,2005,156458,Silver,Diesel,7,Manual,1896,105,0.0,5,5,4424.38
702,LandRover,Private person,2020,21000,Black,Petrol,,Automatic,1997,250,,5,5,56410.84
703,Peugeot,Company,2022,1,Yellow,Petrol,,Manual,1199,75,0.0,5,5,16139.95
704,Aixam,Private person,2016,30005,Black,Diesel,,,505,4,0.0,2,3,7110.61
705,Toyota,Private person,2006,151000,Claret,Petrol+LPG,,Automatic,3311,215,,7,5,11038.37
706,Skoda,Private person,2015,136100,White,,6,,1197,,,5,5,6523.7
707,Ford,Private person,2010,204153,Else,Diesel,"4,80",,1399,70,,5,5,3589.16
708,Nissan,Private person,2016,100450,White,Petrol,6,Manual,1197,115,0.0,5,5,15485.33
709,Dacia,Private person,2011,122100,Black,Petrol,"9,20",Manual,1598,84,0.0,5,5,5282.17
710,Peugeot,Private person,2015,111500,Black,Diesel,"4,60",Manual,1997,150,,5,5,12618.51
711,Volkswagen,Company,2023,1,Gray,Petrol,,Manual,999,110,0.0,5,5,25936.79
712,Skoda,Company,2022,1,Gray,Petrol,,Manual,1498,150,0.0,5,5,29097.07
713,Porsche,Company,2019,37878,Red,Petrol,,Manual,1988,300,0.0,2,2,67494.36
714,Kia,Private person,2015,198675,Black,Diesel,4,,1396,90,,5,5,7900.68
715,BMW,Private person,2013,173000,White,Petrol,9,,1997,184,0.0,5,5,18036.12
716,Isuzu,Private person,2015,108460,Black,Diesel,,Manual,2499,163,0.0,5,4,19774.27
717,Mercedes-Benz,Private person,2019,36000,Black,Petrol,,Automatic,1991,306,0.0,5,,44746.28
718,Volkswagen,Private person,2013,113000,Brown,Petrol,11,Automatic,1984,211,0.0,5,4,11851.02
719,Citroën,Private person,2013,133000,Black,Diesel,5,,1560,112,0.0,5,3,5643.34
720,Renault,Private person,2007,288000,Green,Diesel,9,Manual,1995,114,0.0,8,4,10112.87
721,Opel,Private person,2007,255900,Black,Petrol+LPG,10,,1796,140,0.0,5,5,4492.1
722,Citroën,Private person,2009,304043,Else,Diesel,,,1997,140,,4,5,3331.83
723,Kia,Private person,2019,41000,White,Petrol,,Manual,1591,132,0.0,5,5,20880.36
724,Renault,Company,2018,59595,White,Petrol,,Manual,1332,140,0.0,5,5,17810.38
725,Mercedes-Benz,Company,2022,19500,White,Diesel,,Automatic,1995,163,0.0,5,5,51896.16
726,Mercedes-Benz,Company,2022,1,White,Electric,,Automatic,,228,0.0,5,5,62347.63
727,Mercedes-Benz,Company,2023,5,Black,Hybrid,,Automatic,1332,218,0.0,5,5,50790.07
728,Nissan,Company,2022,3,Blue,Petrol,,Manual,1332,140,0.0,5,5,32516.93
729,Kia,Private person,2010,148471,Silver,Diesel,5,,1582,,,5,5,4853.27
730,Volkswagen,Private person,2009,248400,Black,Petrol,8,,1390,160,,4,3,6297.97
731,Opel,Private person,2008,237173,Black,Diesel,9,Automatic,1910,150,,5,5,3363.43
732,Ford,Private person,2007,304000,Silver,Diesel,8,,1997,,,7,5,3837.25
733,BMW,Private person,2020,92000,Gray,Diesel,,Automatic,2993,286,0.0,5,4,78781.04
734,Volvo,Company,2017,60209,Gray,Petrol,,Manual,1969,152,0.0,5,5,16230.25
735,Kia,Private person,2016,63100,White,Petrol,"5,90",,1248,85,0.0,5,5,8058.69
736,Kia,Private person,2016,63100,White,Petrol,"5,90",,1248,85,0.0,5,5,8058.69
737,BMW,Private person,2014,135289,White,Diesel,5,,1995,218,,5,4,19367.95
738,Suzuki,Private person,2016,125000,Black,Petrol,,Manual,998,68,0.0,5,5,5304.74
739,Honda,Company,2017,150000,Black,Petrol,7,Manual,1498,130,0.0,5,5,15237.02
740,BMW,Private person,2006,230100,Blue,Petrol,8,Manual,1995,150,0.0,5,5,6749.44
741,Audi,Private person,2018,112000,Gray,Petrol,6,Automatic,1498,150,0.0,5,4,24108.35
742,Volkswagen,Company,2018,186000,Gray,Diesel,,Manual,1968,150,0.0,5,5,15327.31
743,Ford,Private person,2010,105000,Silver,Petrol,6,Manual,1242,69,0.0,5,3,3385.78
744,BMW,Private person,2018,71000,Gray,Petrol,14,Automatic,4395,575,0.0,5,5,98843.79
745,Porsche,Private person,2004,375000,Black,Petrol+LPG,,,4511,340,,5,5,8103.84
746,Ford,Company,2016,199000,Black,Petrol,,,1498,,,5,5,13521.44
747,Kia,Company,2021,43000,White,Petrol,,Manual,1482,160,0.0,5,5,19864.33
748,Opel,Company,2014,174000,Black,Diesel,,,1956,,,5,5,9458.24
749,Audi,Company,2012,221000,Black,Diesel,,,1947,140,,5,5,13521.44
750,Citroën,Private person,2011,179000,Silver,,,,1598,,,,5,5169.3
751,Kia,Private person,2013,118800,Brown,,,,1248,,,5,5,6297.97
752,DSAutomobiles,Company,2022,5000,Black,Diesel,,Automatic,1499,130,0.0,5,5,42189.62
753,Hyundai,Private person,2020,28035,Red,Petrol,,Manual,1498,110,0.0,5,5,15011.29
754,Toyota,Company,2010,213000,Black,Petrol,,,1598,133,0.0,5,5,7200.9
755,Ford,Company,2013,267000,White,Diesel,,Automatic,1996,160,0.0,7,5,9006.77
756,Nissan,Company,2016,220000,Gray,Diesel,,,1598,131,0.0,7,5,14650.11
757,DSAutomobiles,Company,2021,14,Else,Petrol,,Automatic,1598,224,0.0,5,4,54153.5
758,Hyundai,Company,2022,8,Green,Petrol,,Manual,1482,160,0.0,5,5,26004.51
759,Volkswagen,Private person,2019,45000,Blue,Petrol,,Automatic,1498,149,0.0,5,5,26162.53
760,BMW,Private person,2014,239000,Black,,"6,10",,1995,,,5,5,15124.15
761,Opel,Private person,2012,250000,Gray,Diesel,"6,10",,1686,,0.0,,5,4729.12
762,MINI,Private person,2015,74300,White,Petrol,"6,70",Manual,1499,136,0.0,5,5,11997.74
763,BMW,Private person,2007,303000,Gray,,6,,1995,,,5,4,5169.3
764,Volkswagen,Private person,2002,280000,Silver,Petrol,,,1390,75,,5,5,1557.56
765,Kia,Private person,2018,86000,Gray,Diesel,,Automatic,1598,136,0.0,5,5,24356.66
766,Mercedes-Benz,Company,2017,71000,Gray,Petrol,,Automatic,2996,367,0.0,5,5,53950.34
767,Toyota,Private person,2018,23039,Blue,Petrol,5,,1496,,,5,5,14176.07
768,Kia,Private person,2018,86000,Gray,Diesel,,Automatic,1598,136,0.0,5,5,24356.66
769,Mercedes-Benz,Company,2017,71000,Gray,Petrol,,Automatic,2996,367,0.0,5,5,53950.34
770,Toyota,Private person,2018,23039,Blue,Petrol,5,,1496,,,5,5,14176.07
771,BMW,Private person,2007,251000,Gray,Petrol,12,,2497,218,0.0,5,5,5846.5
772,Opel,Private person,2006,74122,White,Petrol,7,Manual,998,60,,5,5,1534.99
773,Aixam,Private person,2020,19000,White,,,,480,,,2,2,9458.24
774,Mazda,Company,2021,11000,Red,Petrol,,Manual,1998,122,0.0,5,,24808.13
775,BMW,Private person,2006,239700,Black,Petrol,10,Manual,1995,150,0.0,5,5,4943.57
776,Renault,Private person,2022,3968,Else,Petrol,,Automatic,1332,158,0.0,,,34718.96
777,Mercedes-Benz,Private person,2006,318000,Else,,,,3200,,,,4,8781.04
778,Mercedes-Benz,Private person,2003,335000,Silver,Diesel,13,,3996,260,,5,4,6975.17
779,Porsche,Company,2022,1,Black,Petrol,,Automatic,1984,265,0.0,5,5,63769.75
780,Ford,Private person,2012,179000,Black,Petrol,"6,80",,1242,,0.0,5,5,5146.73
781,Mercedes-Benz,Private person,2023,50,Black,Petrol,16,Automatic,3982,585,0.0,5,5,242663.66
782,Toyota,Private person,2018,57773,White,Hybrid,,Automatic,1497,75,0.0,5,5,14898.42
783,Opel,Private person,2000,300000,Silver,Petrol,12,Manual,1796,125,0.0,7,5,1376.98
784,Skoda,Private person,2017,193200,Black,Diesel,5,Manual,1968,150,0.0,5,5,12772.01
785,Microcar,Private person,2022,6300,White,,,,498,,,2,2,10361.17
786,Porsche,Company,2021,35021,Gray,Petrol,,,3996,460,,5,5,153273.14
787,BMW,Company,2022,5,Black,Petrol,"16,60",Automatic,4395,625,0.0,5,4,166817.16
788,Mercedes-Benz,Private person,2015,66000,Silver,Diesel,6,Automatic,2143,136,0.0,5,5,20090.29
789,Volkswagen,Private person,1999,212382,Blue,Petrol,12,Manual,1984,115,,4,2,1557.56
790,Volkswagen,Private person,2006,181620,Silver,Petrol,9,Manual,1598,115,0.0,5,5,4176.07
791,Ford,Private person,2013,191000,Black,,4,,1498,,,,5,5417.61
792,Suzuki,Private person,2007,196252,White,Petrol,8,Manual,1328,92,0.0,5,5,3024.83
793,Volvo,Company,2022,15898,Gray,Hybrid,,Automatic,1969,235,0.0,7,5,79887.13
794,Mercedes-Benz,Private person,2022,22000,Else,Petrol,9,Automatic,2999,367,0.0,5,4,59142.21
795,Mercedes-Benz,Private person,2015,335000,Black,Diesel,7,Automatic,2987,258,0.0,5,4,35440.18
796,Mercedes-Benz,Private person,2019,71000,White,Diesel,,Manual,1500,90,0.0,2,5,13882.62
797,Volkswagen,Company,2022,1,Gray,Petrol,,Automatic,1984,190,0.0,5,5,51695.26
798,Volkswagen,Company,2022,1,White,Petrol,,Automatic,1984,245,0.0,5,5,57539.5
799,Audi,Private person,2005,269000,Black,Diesel,8,Manual,1968,140,0.0,5,5,5756.21
800,Audi,Private person,2005,269000,Black,Diesel,8,Manual,1968,140,0.0,5,5,5756.21
801,Skoda,Private person,2013,208000,Black,Diesel,5,Manual,1968,140,0.0,5,5,10135.44
802,Volkswagen,Private person,2010,154284,Black,Petrol,9,Manual,1798,160,0.0,5,4,7200.9
803,Kia,Private person,2011,234345,Gray,Diesel,8,,1995,150,,5,5,9367.95
804,Opel,Private person,2016,184000,Gray,Petrol,"7,70",Manual,1399,150,0.0,5,5,10361.17
805,Volkswagen,Company,2022,,Black,Diesel,,Automatic,1968,200,0.0,5,5,53702.03
806,Honda,Private person,2007,198150,Brown,Petrol,"12,70",Manual,1998,201,0.0,4,3,8555.3
807,Skoda,Private person,2017,138400,Else,Petrol,,Manual,999,95,0.0,5,5,7900.23
808,Seat,Private person,2015,108000,White,Petrol,,Manual,999,60,0.0,4,3,4717.83
809,BMW,Private person,2018,76000,Black,Petrol,7,Automatic,1998,184,0.0,5,5,27065.46
810,Skoda,Private person,2019,214000,White,Petrol,,Manual,999,115,0.0,5,5,11060.95
811,Mercedes-Benz,Private person,1998,133000,Else,Petrol,17,,4973,,0.0,2,2,21647.86
812,Ford,Private person,2009,270000,Else,Diesel,5,,1399,68,0.0,5,5,2663.66
813,Opel,Private person,2006,248000,Black,Diesel,7,Manual,1910,150,0.0,5,5,3589.16
814,Toyota,Company,2023,1,Silver,Hybrid,,Automatic,2487,177,0.0,5,5,45813.54
815,BMW,Private person,2020,41000,Black,Petrol,,Automatic,2979,410,0.0,4,2,80134.99
816,Audi,Company,2020,24999,Black,Petrol,,Automatic,1984,150,0.0,5,4,32686.23
817,Volkswagen,Private person,2015,72000,White,Petrol,5,,999,,,4,5,5756.21
818,Ford,Private person,2009,63000,Blue,,6,,1242,,,,5,4943.57
819,BMW,Private person,2011,200000,Black,Diesel,"8,80",,2993,,,5,5,20316.03
820,Fiat,Private person,2003,200671,Blue,Petrol,,,1242,60,,5,5,1060.95
821,Opel,Private person,2008,209796,Black,Diesel,6,Manual,1686,125,,5,3,1805.64
822,Citroën,Company,2009,240000,White,Diesel,,,1997,,0.0,5,5,5620.77
823,Volkswagen,Company,2023,1,Silver,Petrol,,Automatic,1498,150,0.0,5,5,34966.14
824,Skoda,Private person,2018,104000,White,Petrol,,Automatic,1984,180,0.0,7,5,31376.98
825,BMW,Private person,2007,211000,Black,Petrol,10,,1596,116,0.0,5,5,4266.37
826,Opel,Private person,2005,277252,Blue,Diesel,6,,1686,,,5,5,1805.64
827,Honda,Private person,2013,238000,Black,Petrol,9,Manual,1997,155,,5,5,14160.27
828,Toyota,Private person,2019,86956,Gray,Diesel,"5,40",Automatic,1997,177,0.0,7,5,40632.05
829,Seat,Private person,2019,97179,White,Petrol,5,Manual,999,95,0.0,5,5,11399.55
830,Toyota,Private person,2007,464000,Black,Diesel,11,,2982,173,,5,5,8527.54
831,Suzuki,Private person,2010,170000,White,Petrol,8,,1328,92,0.0,5,3,3837.47
832,Skoda,Private person,2014,148000,Red,Petrol+LPG,,Manual,1198,70,0.0,5,5,5169.3
833,Mercedes-Benz,Company,2022,13000,Else,Diesel,,Automatic,1993,272,,,5,81241.53
834,Peugeot,Company,2012,36000,Red,Petrol,,Manual,1397,95,0.0,4,5,8329.57
835,Mercedes-Benz,Private person,2018,96000,Gray,Petrol,,Automatic,1991,211,0.0,5,5,31602.71
836,Volvo,Company,2022,23783,White,Hybrid,,Automatic,1969,235,0.0,7,5,77855.53
837,BMW,Private person,2017,129800,Else,Diesel,7,Automatic,2993,258,0.0,5,5,38148.98
838,Mercedes-Benz,Private person,2011,120000,White,Petrol,"8,80",,1796,156,0.0,4,2,11851.02
839,Ford,Private person,2015,96500,Else,Petrol,12,,3731,305,,4,2,18036.12
840,Opel,Private person,2014,188000,Blue,Diesel,4,,1598,136,0.0,5,5,7652.37
841,Honda,Private person,2009,144338,Blue,Petrol,10,Automatic,1997,150,0.0,5,5,11038.37
842,Mercedes-Benz,Private person,2021,29661,Black,Petrol,,Automatic,1332,163,0.0,5,4,42686.23
843,Toyota,Company,2009,64000,Silver,Diesel,,,1998,126,0.0,5,5,10361.17
844,Volvo,Company,2022,24581,Blue,Hybrid,,Automatic,1969,235,0.0,7,5,76049.66
845,Skoda,Company,2019,54672,Black,Petrol,,Automatic,1984,190,0.0,5,5,20293.45
846,Ford,Private person,2010,240883,Black,Diesel,6,Manual,1997,140,,5,5,4503.39
847,Volvo,Company,2022,20507,Gray,Hybrid,,Automatic,1969,235,0.0,7,5,75823.93
848,Mercedes-Benz,Company,2021,9035,Black,Petrol,"8,30",Automatic,1497,184,0.0,4,2,45124.15
849,BMW,Company,2022,1,Black,Electric,,Automatic,,544,0.0,5,4,214898.87
850,Volvo,Private person,2017,177000,White,Diesel,4,Automatic,1969,120,0.0,5,5,14218.96
851,Audi,Private person,2011,223600,Black,Petrol,,,1984,211,,4,2,9864.56
852,Renault,Private person,2008,126000,Gray,Petrol,8,Manual,1598,112,0.0,5,4,2234.76
853,Volkswagen,Private person,2013,75641,Brown,Petrol,8,Manual,1390,86,0.0,5,5,9006.77
854,Mazda,Private person,2011,148060,Brown,,"9,90",,1598,,,5,5,6094.81
855,Citroën,Private person,2016,105000,Silver,Diesel,"4,50",Manual,1560,120,,7,5,12844.24
856,Fiat,Private person,2021,20100,White,,,,999,,,,5,9029.12
857,MINI,Company,2022,10,Black,Electric,,Automatic,,184,0.0,4,3,38397.29
858,Kia,Private person,2014,115300,Gray,Diesel,5,Manual,1582,128,0.0,5,5,7990.97
859,Opel,Private person,2005,235000,Black,,7,,1910,,,7,5,2370.2
860,Ford,Private person,2012,184000,Blue,Diesel,6,,1997,163,0.0,5,5,7426.64
861,Skoda,Company,2018,103000,Blue,Diesel,,Manual,1598,115,0.0,5,5,13747.18
862,Volvo,Company,2022,22189,Black,Hybrid,,Automatic,1969,235,0.0,7,5,75823.93
863,Volvo,Company,2022,15890,Gray,Petrol,,Automatic,1969,250,0.0,7,5,75598.19
864,Toyota,Private person,2009,102000,Green,,5,,1497,,,5,5,8239.28
865,Hyundai,Private person,2015,160000,White,Diesel,6,Manual,1685,115,0.0,5,5,12483.07
866,Nissan,Private person,2013,186147,Black,Diesel,4,Manual,1461,110,0.0,5,5,9683.97
867,Skoda,Company,2023,1,Blue,Petrol,,Automatic,1984,245,0.0,5,5,58544.02
868,Mercedes-Benz,Company,2022,5,White,Petrol,,Automatic,1332,163,0.0,5,4,35440.18
